Chemical,Cell line,CMap dose,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100
hymecromone,HL60,0.0000228,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.006743,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.01,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.6419,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.006743,0.003486,0.003486
hymecromone,PC3,0.0000228,0.0001435,0.0001435,0.001887,0.01409,0.05016,0.0001435,0.0001435,0.0001435,0.02147,0.0001435,0.0001435,0.0001435,0.0002776,0.0001435,0.0001435,0.0001435,0.0001435,0.0006799,0.0001435,0.05714,0.0001435,0.0001435,0.0001435,0.00135,0.0001435,0.0001435,0.0002776,0.0001435,0.0001435,0.0001435,0.0002776,0.0001435,0.0001435,0.0001435,0.003898,0.0001435,0.0001435,0.0001435,0.0002776,0.0001435,0.0001435,0.0004117,0.0001435,0.0001435,0.2523,0.3847,0.0001435,0.0001435,0.0001435,0.0001435,0.006446,0.0001435,0.04185,0.0001435,0.0001435,0.0001435,0.0002776,0.0002776,0.0001435,0.001619,0.0001435,0.0001435,0.0001435,0.0002776,0.0001435,0.0001435,0.0002776,0.0004117,0.0001435,0.0001435,0.0001435,0.0009481,0.0002776,0.0006799,0.1422,0.0001435,0.0001435,0.0001435,0.0001435,0.0001435,0.0001435,0.0002776,0.0001435,0.0001435,0.0002776,0.002289,0.0001435,0.0001435,0.0002776,0.0002776,0.001753,0.0005458,0.0001435,0.0001435,0.0001435,0.0001435,0.0001435,0.0002776,0.0001435,0.0001435
hymecromone,MCF7,0.0000228,0.0003619,0.0003619,0.01659,0.0003619,0.1005,0.0003619,0.003067,0.0003619,0.0003619,0.0003619,0.0003619,0.0003619,0.0003619,0.0003619,0.0003619,0.0003619,0.001038,0.0007001,0.0007001,0.2273,0.0003619,0.0003619,0.0003619,0.0003619,0.003406,0.001376,0.0003619,0.0007001,0.0007001,0.0007001,0.0003619,0.0003619,0.0007001,0.0003619,0.07273,0.0003619,0.0003619,0.001376,0.0003619,0.0003619,0.0007001,0.0003619,0.0003619,0.0007001,0.0003619,0.0003619,0.0003619,0.0003619,0.0003619,0.0003619,0.0007001,0.0007001,0.0007001,0.0003619,0.0003619,0.0003619,0.0003619,0.009831,0.004082,0.001038,0.0003619,0.0003619,0.0003619,0.0003619,0.002391,0.0003619,0.0003619,0.0003619,0.0003619,0.0003619,0.001038,0.02573,0.0003619,0.001715,0.001038,0.0003619,0.0003619,0.0003619,0.0003619,0.0007001,0.0003619,0.0003619,0.0003619,0.0003619,0.001038,0.001715,0.0003619,0.1695,0.003744,0.0007001,0.3162,0.0003619,0.0003619,0.0003619,0.0003619,0.0003619,0.0003619,0.0003619,0.001376,0.0003619
idoxuridine,MCF7,0.0000112,0.02562,0.0001229,0.0001229,0.0001229,0.0001229,0.02516,0.0001229,0.0002378,0.0002378,0.1243,0.0001229,0.0002378,0.0004675,0.0001229,0.0003526,0.00219,0.0003526,0.0001229,0.2255,0.0001229,0.0001229,0.04549,0.0001229,0.0001229,0.0001229,0.0001229,0.0003526,0.003339,0.3062,0.0002378,0.0006972,0.0002378,0.0001229,0.000812,0.0001229,0.002764,0.001042,0.005176,0.0001229,0.02022,0.0002378,0.0001229,0.0001229,0.0002378,0.0001229,0.0001229,0.0009269,0.0002378,0.0001229,0.000812,0.0001229,0.08144,0.0001229,0.0004675,0.0002378,0.0002378,0.0001229,0.0001229,0.0001229,0.0001229,0.0005823,0.0001229,0.0001229,0.0001229,0.0001229,0.0001229,0.0001229,0.0001229,0.0001229,0.0001229,0.0001229,0.0001229,0.0001229,0.0001229,0.0002378,0.001846,0.0003526,0.0001229,0.0001229,0.0005823,0.0001229,0.0001229,0.02126,0.0001229,0.0001229,0.0001229,0.004487,0.0002378,0.001042,0.0003526,0.0001229,0.0001229,0.005521,0.0001229,0.0001229,0.0001229,0.0006972,0.0005823,0.0001229,0.0796
idoxuridine,PC3,0.0000112,0.001733,0.00003307,0.00003307,0.00003307,0.00003307,0.0005894,0.0004348,0.00003307,0.00003307,0.00009488,0.00003307,0.00006398,0.003896,0.00003307,0.00006398,0.0004039,0.0001567,0.00003307,0.03956,0.00009488,0.0001567,0.2253,0.00003307,0.00006398,0.0001258,0.0007748,0.00006398,0.0002494,0.001238,0.00003307,0.0007439,0.0003421,0.001949,0.005009,0.00003307,0.0002494,0.00006398,0.02843,0.00003307,0.0002185,0.00003307,0.00009488,0.00003307,0.002135,0.00003307,0.00003307,0.0007748,0.00006398,0.00003307,0.06172,0.00003307,0.1529,0.00003307,0.001455,0.00006398,0.00009488,0.00003307,0.00003307,0.0003421,0.00003307,0.00003307,0.0001567,0.00003307,0.00003307,0.00003307,0.00006398,0.00003307,0.000373,0.001702,0.0001876,0.00003307,0.00003307,0.00003307,0.00003307,0.00003307,0.009892,0.01814,0.0001258,0.00003307,0.006554,0.0004967,0.00003307,0.0005276,0.0001258,0.00003307,0.00003307,0.04216,0.0006512,0.00009488,0.00006398,0.00003307,0.00006398,0.3656,0.00003307,0.00003307,0.0009293,0.002629,0.01629,0.00009488,0.00006398
ifosfamide,MCF7,0.0000154,0.0001777,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.000134,0.2592,0.00004672,0.00004672,0.06544,0.00004672,0.00004672,0.00004672,0.000134,0.001225,0.00319,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.3291,0.00004672,0.00009037,0.00004672,0.00009037,0.00004672,0.00004672,0.00004672,0.00004672,0.000134,0.00004672,0.00004672,0.00009037,0.00004672,0.00004672,0.00009037,0.00004672,0.00004672,0.00004672,0.04824,0.00004672,0.00009037,0.00009037,0.0001777,0.00004672,0.000134,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00009037,0.00004672,0.00004672,0.00004672,0.02685,0.00004672,0.00004672,0.00004672,0.0004396,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00009037,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00004672,0.00009037,0.00004672,0.2607,0.00009037,0.00004672,0.00004672,0.00004672,0.0001777,0.00004672,0.00004672,0.00004672,0.00004672,0.0001777,0.00004672,0.00004672
ifosfamide,PC3,0.0000154,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.1308,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01483,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.005169,0.005169,0.02932,0.005169,0.005169,0.01,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.01483,0.005169,0.005169,0.01483,0.005169,0.005169,0.005169,0.005169,0.1018,0.005169,0.005169,0.01483,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.08729,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.01,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.08246,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169
irinotecan,MCF7,0.0001,0.00004037,0.00141,0.00000852,0.08704,0.00000852,0.09113,0.00002444,0.0001439,0.00000852,0.002699,0.00001648,0.00000852,0.00001648,0.00000852,0.0002553,0.00004037,0.00001648,0.06245,0.00000852,0.00000852,0.00001648,0.00000852,0.00000852,0.00000852,0.0000324,0.0001439,0.001688,0.000112,0.00000852,0.00102,0.002843,0.00000852,0.00000852,0.004865,0.00002444,0.00000852,0.0001996,0.0001041,0.00000852,0.0001837,0.0001279,0.03645,0.03831,0.00002444,0.00001648,0.00000852,0.1084,0.00000852,0.1763,0.00000852,0.00000852,0.00000852,0.00000852,0.00000852,0.00006425,0.0018,0.1116,0.00000852,0.0002474,0.00004037,0.00001648,0.004045,0.00000852,0.04881,0.00001648,0.00001648,0.0002553,0.00001648,0.00001648,0.00000852,0.007954,0.00000852,0.02166,0.01303,0.0000324,0.00000852,0.00001648,0.00000852,0.00000852,0.00005629,0.0000324,0.00000852,0.001346,0.00002444,0.00004833,0.00008017,0.00002444,0.00000852,0.03781,0.01767,0.00000852,0.1158,0.0001677,0.00001648,0.00000852,0.0004225,0.00006425,0.0001439,0.000112,0.0001677
irinotecan,PC3,0.0001,0.00002362,0.02082,0.00001221,0.0005256,0.0001263,0.03728,0.00001221,0.00004643,0.00001221,0.00004643,0.00002362,0.00001221,0.0001833,0.00001221,0.00009207,0.00003502,0.00001221,0.03953,0.0001035,0.00002362,0.00001221,0.00001221,0.00001221,0.00001221,0.00003502,0.0004115,0.00004643,0.00008066,0.00001221,0.02927,0.003537,0.00005784,0.000286,0.00002362,0.00001221,0.0001377,0.001598,0.0001491,0.00002362,0.00003502,0.00003502,0.00008066,0.02964,0.00001221,0.00002362,0.00001221,0.2232,0.00002362,0.2626,0.00004643,0.00002362,0.00002362,0.00003502,0.0001149,0.00006925,0.00005784,0.02781,0.00003502,0.00003502,0.00001221,0.00001221,0.006515,0.00001221,0.00002362,0.00002362,0.00002362,0.0006168,0.00009207,0.0008678,0.00001221,0.02182,0.00002362,0.001415,0.00004643,0.00001221,0.00002362,0.0003887,0.00006925,0.00003502,0.00008066,0.00005784,0.00009207,0.01155,0.00003502,0.0001263,0.00006925,0.00001221,0.00001221,0.09975,0.00002362,0.00001221,0.1473,0.02015,0.00002362,0.00004643,0.0003773,0.00002362,0.00008066,0.00002362,0.009504
isocorydine,PC3,0.0000118,0.3091,0.00009423,0.00009423,0.0001823,0.00009423,0.03311,0.00009423,0.0002703,0.00009423,0.0005345,0.0701,0.04095,0.0001823,0.00009423,0.0002703,0.0007986,0.1084,0.00009423,0.0004464,0.0002703,0.001239,0.00009423,0.0001823,0.00009423,0.00009423,0.00009423,0.00009423,0.0004464,0.00009423,0.0003584,0.0003584,0.0007106,0.0001823,0.00009423,0.00009423,0.0001823,0.0002703,0.0001823,0.00009423,0.0004464,0.0001823,0.00009423,0.0001823,0.00009423,0.00009423,0.00009423,0.0003584,0.0005345,0.00009423,0.0007986,0.002296,0.00009423,0.00009423,0.00009423,0.00009423,0.001151,0.00009423,0.00009423,0.0001823,0.00009423,0.005201,0.00009423,0.0001823,0.00009423,0.0001823,0.1065,0.0001823,0.0001823,0.0003584,0.0003584,0.2687,0.00009423,0.00009423,0.0001823,0.00009423,0.03109,0.0003584,0.0007986,0.00009423,0.0002703,0.0001823,0.00009423,0.00009423,0.00009423,0.00009423,0.0001823,0.00009423,0.00009423,0.00009423,0.0005345,0.00009423,0.0002703,0.0002703,0.00009423,0.00009423,0.001679,0.0002703,0.001591,0.00009423,0.001415
isocorydine,MCF7,0.0000118,0.001326,0.002565,0.001326,0.001326,0.001326,0.001326,0.001326,0.006283,0.001326,0.01248,0.0447,0.001326,0.001326,0.001326,0.003804,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.002565,0.001326,0.002565,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.005043,0.001326,0.001326,0.002565,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.005043,0.001326,0.001326,0.002565,0.01,0.001326,0.001326,0.001326,0.001326,0.04346,0.001326,0.001326,0.001326,0.003804,0.01124,0.001326,0.001326,0.001326,0.001326,0.001326,0.007522,0.001326,0.003804,0.002565,0.01743,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.001326,0.008761,0.001326,0.001326,0.001326,0.001326,0.001326,0.002565,0.001326,0.001326,0.3,0.001326,0.01124,0.001326,0.001326,0.005043,0.1017,0.001326,0.001326,0.001326,0.2826
isoflupredone,PC3,0.0000096,0.0000689,0.00002402,0.00004646,0.00002402,0.00002402,0.00002402,0.00002402,0.00002402,0.00002402,0.00002402,0.00004646,0.00002402,0.00004646,0.06596,0.0001362,0.000226,0.06576,0.00002402,0.00002402,0.01706,0.0001138,0.1346,0.00002402,0.0001811,0.00002402,0.00002402,0.00002402,0.0008769,0.1135,0.00002402,0.00004646,0.1849,0.00002402,0.0001587,0.05685,0.0006749,0.0002933,0.00009135,0.00002402,0.0005178,0.00002402,0.00002402,0.00002402,0.001191,0.00002402,0.0001811,0.0001811,0.0000689,0.00002402,0.3471,0.00004646,0.0007871,0.00009135,0.0004056,0.00009135,0.00002402,0.00002402,0.0001587,0.00004646,0.00002402,0.0003831,0.0001138,0.00002402,0.00002402,0.00002402,0.00009135,0.00002402,0.00004646,0.0003158,0.0003607,0.0001362,0.00002402,0.00002402,0.00002402,0.0001138,0.00004646,0.0003382,0.00002402,0.00009135,0.0002036,0.00004646,0.00002402,0.000428,0.00004646,0.00002402,0.00002402,0.0000689,0.00256,0.0001811,0.00002402,0.00004646,0.00002402,0.0005851,0.00009135,0.00002402,0.00002402,0.00002402,0.00009135,0.00002402,0.00002402
isoflupredone,HL60,0.0000096,0.005625,0.00012,0.00006201,0.00006201,0.0005256,0.0001779,0.00006201,0.00012,0.00006201,0.0006994,0.0008153,0.05726,0.0003518,0.00012,0.006378,0.6942,0.00006201,0.00006201,0.00006201,0.0003518,0.00006201,0.009334,0.0005835,0.0002359,0.00006201,0.00012,0.00006201,0.0003518,0.00006201,0.0001779,0.0002938,0.07267,0.00006201,0.0002359,0.00012,0.00012,0.00006201,0.0008153,0.0002359,0.0149,0.00012,0.0001779,0.00006201,0.00006201,0.00006201,0.00006201,0.002438,0.0002359,0.0001779,0.00012,0.00006201,0.00012,0.0002938,0.0001779,0.0002359,0.0005835,0.0001779,0.0004097,0.0004676,0.005625,0.001163,0.0002938,0.00012,0.00006201,0.00006201,0.00012,0.0001779,0.00012,0.001337,0.0005835,0.01032,0.00006201,0.00006201,0.0005256,0.0006415,0.00012,0.0002938,0.01884,0.00006201,0.00858,0.002612,0.00012,0.001511,0.00006201,0.00006201,0.00006201,0.00006201,0.03292,0.0003518,0.0002938,0.03309,0.0001779,0.002496,0.0002359,0.00006201,0.0008733,0.00006201,0.001742,0.0002359,0.00006201
isoflupredone,MCF7,0.0000096,0.009057,0.00008072,0.00008072,0.00008072,0.00008072,0.0001562,0.00008072,0.00008072,0.0002316,0.0005333,0.0002316,0.00008072,0.0002316,0.2171,0.00008072,0.0001562,0.001438,0.0003825,0.0003825,0.05379,0.00008072,0.01577,0.0001562,0.0005333,0.00008072,0.0004579,0.0001562,0.06201,0.361,0.0001562,0.00008072,0.03101,0.00008072,0.0006842,0.003852,0.02188,0.03516,0.000835,0.0001562,0.0009859,0.00008072,0.00008072,0.00008072,0.001891,0.00008072,0.00008072,0.004456,0.004984,0.00008072,0.02324,0.0002316,0.001061,0.00008072,0.005587,0.00008072,0.00008072,0.00008072,0.0006842,0.0001562,0.00008072,0.000307,0.0001562,0.0001562,0.00008072,0.0001562,0.05575,0.0001562,0.005663,0.0006087,0.001288,0.001514,0.0004579,0.00008072,0.001212,0.00008072,0.0002316,0.0001562,0.0009859,0.00008072,0.04753,0.00008072,0.005286,0.0009105,0.0001562,0.0001562,0.0001562,0.01283,0.00008072,0.00008072,0.00008072,0.00008072,0.00008072,0.0001562,0.00008072,0.00008072,0.00008072,0.00008072,0.00008072,0.00008072,0.00008072
josamycin,PC3,0.0000048,0.001115,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.02966,0.005961,0.0005763,0.00273,0.0005763,0.0005763,0.001653,0.2456,0.0005763,0.0005763,0.0005763,0.001115,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.001115,0.001115,0.0005763,0.0005763,0.0005763,0.00273,0.00273,0.0005763,0.005961,0.0005763,0.01512,0.02966,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.01781,0.0005763,0.0005763,0.001653,0.0005763,0.0005763,0.002192,0.01135,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.001115,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.001653,0.0005763,0.0005763,0.0005763,0.0005763,0.559,0.0005763,0.0005763,0.0005763,0.0005763,0.00273,0.003807,0.005423,0.0005763,0.001115,0.001115,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.001115,0.0005763,0.0005763,0.0005763,0.0005763,0.0005763,0.001115,0.0005763,0.0005763,0.0005763,0.0005763,0.001115,0.0005763,0.001115
josamycin,MCF7,0.0000048,0.001514,0.001514,0.001514,0.002928,0.001514,0.001514,0.008586,0.001514,0.004342,0.001514,0.001514,0.01,0.001514,0.001514,0.001514,0.002928,0.001514,0.001514,0.001514,0.01141,0.001514,0.001514,0.001514,0.001514,0.001514,0.002928,0.001514,0.001514,0.001514,0.005757,0.001514,0.001514,0.001514,0.001514,0.1585,0.001514,0.4089,0.002928,0.001514,0.001514,0.001514,0.001514,0.002928,0.001514,0.001514,0.001514,0.001514,0.004342,0.002928,0.002928,0.001514,0.001514,0.002928,0.001514,0.001514,0.002928,0.001514,0.004342,0.001514,0.001514,0.001514,0.001514,0.001514,0.001514,0.001514,0.001514,0.001514,0.002928,0.01424,0.001514,0.002928,0.004342,0.002928,0.001514,0.001514,0.002928,0.001514,0.002928,0.001514,0.001514,0.01,0.002928,0.001514,0.001514,0.001514,0.002928,0.001514,0.001514,0.001514,0.01,0.005757,0.001514,0.001514,0.001514,0.1826,0.007171,0.001514,0.001514,0.001514,0.001514
ketoconazole,HL60,0.0000076,0.00004212,0.0005144,0.0001602,0.0001996,0.000357,0.00004212,0.00004212,0.0001602,0.001105,0.00004212,0.00004212,0.00004212,0.00004212,0.00004212,0.00004212,0.00004212,0.00004212,0.0001208,0.00004212,0.0007899,0.00004212,0.00004212,0.00004212,0.00004212,0.0003176,0.00004212,0.00004212,0.00004212,0.00004212,0.0001208,0.00004212,0.00004212,0.00004212,0.00004212,0.01437,0.00004212,0.00004212,0.00004212,0.2056,0.00004212,0.0001208,0.0006719,0.001302,0.00004212,0.0001602,0.0006719,0.00004212,0.00004212,0.0001602,0.00004212,0.00004212,0.00004212,0.6538,0.00008148,0.01433,0.00004212,0.0001208,0.00008148,0.00004212,0.00004212,0.00004212,0.00004212,0.00004212,0.0002783,0.00004212,0.00004212,0.0003176,0.00004212,0.00004212,0.00004212,0.00004212,0.00004212,0.001302,0.00008148,0.0002389,0.0001208,0.00004212,0.00004212,0.00004212,0.00004212,0.00004212,0.0006325,0.00004212,0.00008148,0.00004212,0.00008148,0.00004212,0.00004212,0.00004212,0.00008148,0.00004212,0.00004212,0.00004212,0.09868,0.00004212,0.00004212,0.00004212,0.00004212,0.00004212,0.00004212
lanatoside C,HL60,0.000004,0.00005287,0.00002733,0.00002733,0.00005287,0.00002733,0.00005287,0.00005287,0.00002733,0.00002733,0.00002733,0.00007841,0.1008,0.8278,0.00002733,0.00002733,0.00005287,0.00007841,0.00002733,0.00002733,0.00002733,0.00917,0.00002733,0.0006147,0.00002733,0.00002733,0.00002733,0.00002733,0.00007841,0.000155,0.0002316,0.00007841,0.00007841,0.0003083,0.00002733,0.00002733,0.00005287,0.00005287,0.0001806,0.00002733,0.0001039,0.0009722,0.00002733,0.00005287,0.00002733,0.00002733,0.00005287,0.00002733,0.00002733,0.00002733,0.00002733,0.00007841,0.00002733,0.006744,0.00002733,0.00005287,0.00005287,0.00002733,0.00005287,0.0005892,0.00002733,0.00002733,0.00002733,0.00002733,0.002173,0.00002733,0.00002733,0.0001039,0.0001039,0.0002061,0.00002733,0.00007841,0.00005287,0.00002733,0.00002733,0.00002733,0.00002733,0.00005287,0.00002733,0.00002733,0.003577,0.00005287,0.00002733,0.0001039,0.00002733,0.00005287,0.0001039,0.00005287,0.02505,0.00002733,0.00002733,0.00002733,0.00007841,0.0001039,0.00002733,0.01711,0.00002733,0.0001295,0.0005126,0.00007841,0.00005287
lanatoside C,PC3,0.000004,0.0001766,0.000009416,0.0001766,0.000009416,0.000009416,0.001883,0.004981,0.000009416,0.0004669,0.00003581,0.00001821,0.0002206,0.008887,0.000009416,0.2376,0.00002701,0.0001678,0.00003581,0.0008101,0.000009416,0.01933,0.1166,0.001356,0.000009416,0.00003581,0.0000798,0.00004461,0.00002701,0.02579,0.00001821,0.05196,0.000009416,0.00003581,0.005464,0.00001821,0.00003581,0.00001821,0.000009416,0.000009416,0.0001766,0.00001821,0.000009416,0.000009416,0.000009416,0.000009416,0.00002701,0.00003581,0.000009416,0.00001821,0.00001821,0.000009416,0.00004461,0.000009416,0.0001062,0.000009416,0.00005341,0.000009416,0.00001821,0.003749,0.000009416,0.0001678,0.000009416,0.000009416,0.0001942,0.0001942,0.000009416,0.00001821,0.000009416,0.00002701,0.000009416,0.000009416,0.00002701,0.000009416,0.00001821,0.00002701,0.00001821,0.00003581,0.00003581,0.000009416,0.2987,0.00003581,0.000009416,0.00001821,0.000009416,0.00003581,0.000009416,0.00001821,0.0001414,0.00005341,0.000009416,0.00002701,0.000009416,0.1956,0.000009416,0.000009416,0.00002701,0.0002558,0.02266,0.0007221,0.00003581
lanatoside C,MCF7,0.000004,0.0001573,0.00002086,0.00002086,0.00002086,0.00002086,0.00007933,0.00004035,0.00004035,0.00002086,0.00002086,0.0004302,0.0001378,0.03269,0.00002086,0.3024,0.0001963,0.00005984,0.00002086,0.00005984,0.00004035,0.00004035,0.002555,0.00002086,0.00002086,0.00002086,0.00002086,0.00002086,0.0002353,0.0005861,0.00004035,0.002789,0.0001573,0.00002086,0.00005984,0.00002086,0.00002086,0.00002086,0.00005984,0.00002086,0.0001573,0.00007933,0.00002086,0.00002086,0.00004035,0.00002086,0.00002086,0.00002086,0.00007933,0.00002086,0.00005984,0.00002086,0.002555,0.00002086,0.00004035,0.00002086,0.00004035,0.00002086,0.00002086,0.00002086,0.00005984,0.00002086,0.00002086,0.00002086,0.00002086,0.00002086,0.00004035,0.00002086,0.00004035,0.00002086,0.00002086,0.00002086,0.00002086,0.00002086,0.00002086,0.00002086,0.00002086,0.00002086,0.00004035,0.00002086,0.6503,0.00002086,0.00002086,0.00004035,0.00002086,0.00002086,0.00002086,0.00002086,0.0009759,0.00004035,0.00005984,0.00002086,0.00002086,0.0006251,0.00002086,0.00002086,0.00002086,0.00002086,0.0005276,0.00005984,0.00007933
lasalocid,HL60,0.0000066,0.0001375,0.00006953,0.0007489,0.0002733,0.00004688,0.00002424,0.02808,0.00004688,0.01151,0.03463,0.00002424,0.00002424,0.01051,0.00002424,0.00004688,0.00002424,0.0001375,0.05587,0.0001601,0.00009217,0.00002424,0.0154,0.00002424,0.0009301,0.01053,0.00002424,0.0004772,0.000296,0.00002424,0.00006953,0.00127,0.00002424,0.00002424,0.1824,0.00004688,0.00002424,0.0001828,0.00002424,0.00002424,0.00002424,0.003036,0.00004688,0.00006953,0.00004688,0.001021,0.00009217,0.00009217,0.00002424,0.00006953,0.00002424,0.00002424,0.00006953,0.03544,0.00004688,0.00002424,0.000296,0.00009217,0.0007489,0.001677,0.007022,0.0001601,0.00009217,0.0001828,0.2766,0.001609,0.00002424,0.0765,0.00002424,0.00002424,0.000681,0.00002424,0.03046,0.00002424,0.0003866,0.0002507,0.00002424,0.00002424,0.00002424,0.00002424,0.00002424,0.00002424,0.0001148,0.0001375,0.0004545,0.0001601,0.0001828,0.01253,0.00004688,0.00004688,0.00006953,0.03739,0.00004688,0.0001148,0.00002424,0.00002424,0.01114,0.0001148,0.1328,0.01305,0.00002424
letrozole,PC3,0.000014,0.0004751,0.0002456,0.0004751,0.0002456,0.0002456,0.0004751,0.003,0.0002456,0.0002456,0.0007046,0.0002456,0.0002456,0.0002456,0.1811,0.0002456,0.002541,0.0007046,0.0002456,0.001393,0.01769,0.0002456,0.002541,0.0002456,0.0002456,0.0002456,0.0002456,0.0004751,0.0004751,0.03559,0.0002456,0.0002456,0.0004751,0.0002456,0.0009342,0.002311,0.001393,0.0004751,0.0007046,0.0002456,0.0002456,0.0002456,0.0002456,0.0002456,0.0004751,0.0002456,0.0002456,0.001164,0.0002456,0.0002456,0.01585,0.0002456,0.001393,0.0002456,0.0007046,0.0002456,0.0002456,0.0002456,0.0002456,0.0004751,0.0002456,0.01608,0.0002456,0.0004751,0.0002456,0.0002456,0.005295,0.0002456,0.0004751,0.07576,0.0002456,0.0004751,0.0004751,0.0002456,0.0004751,0.0002456,0.0002456,0.0004751,0.0002456,0.0002456,0.0004751,0.001164,0.0002456,0.0009342,0.0002456,0.0002456,0.0002456,0.001164,0.0002456,0.0002456,0.0002456,0.0002456,0.0002456,0.0009342,0.0002456,0.6062,0.0007046,0.0004751,0.0002456,0.0002456,0.0002456
letrozole,HL60,0.000014,0.0001229,0.0003526,0.0001229,0.0001229,0.0004675,0.0001229,0.0005823,0.0001229,0.0001229,0.0004675,0.0001229,0.0003526,0.0001229,0.0001229,0.0002378,0.48,0.0003526,0.0004675,0.001386,0.001501,0.0002378,0.0479,0.0001229,0.05112,0.0006972,0.0009269,0.0001229,0.0002378,0.001157,0.0002378,0.0001229,0.05916,0.0001229,0.0002378,0.0002378,0.0001229,0.0001229,0.0002378,0.00621,0.0009269,0.0003526,0.001616,0.0001229,0.0002378,0.0005823,0.0003526,0.0001229,0.0005823,0.0002378,0.0002378,0.0001229,0.0001229,0.001271,0.0002378,0.00242,0.0001229,0.0004675,0.03699,0.001157,0.08224,0.001271,0.0002378,0.0001229,0.0001229,0.001157,0.0001229,0.0002378,0.0001229,0.0001229,0.0002378,0.0001229,0.0005823,0.0004675,0.01287,0.001042,0.0001229,0.0001229,0.0005823,0.09441,0.0002378,0.003568,0.0004675,0.0001229,0.008737,0.0001229,0.001042,0.0001229,0.0002378,0.0001229,0.0002378,0.07167,0.0001229,0.0005823,0.009311,0.0001229,0.001271,0.0002378,0.0001229,0.0002378,0.0001229
